"Band","Year","Site","Sex","Age","Exp","AgeDiv","ExpDiv","QltyDiv","LayingDiv","FledgDiv","AgeDiff","ExpDiff","QltyDiff","Moved","LayingDiff","FledgeDiff"
"99683071",2003,"Q4","M",6,1,6,1,0.578947368421053,29,1,0,-1,-3.33066907387547e-16,"NO",17,0
"99683072",2003,"Q4","F",6,1,6,1,0.578947368421053,29,1,2,2,-0.328947368421053,"YES",17,-1
"99604217",1992,"Q4","M",6,1,7,1,0.578947368421053,40,1,-2,-1,-3.33066907387547e-16,"NO",-15,0
"99601685",1992,"Q4","F",7,1,6,1,0.578947368421053,40,1,3,3,-0.128947368421053,"YES",-18,-1
"99683071",2005,"Q4","M",8,3,6,0,0.578947368421053,46,1,3,4,-0.328947368421053,"YES",-1,-1
"99674836",2005,"Q4","F",6,0,8,3,0.578947368421053,46,1,-3,-3,-3.33066907387547e-16,"NO",-1,0
"99604217",1996,"Q4","M",10,5,7,2,0.578947368421053,36,1,NA,NA,-3.33066907387547e-16,"NO",-15,-1
"99662573",1996,"Q4","F",7,2,10,5,0.578947368421053,36,1,-1,-1,0.021052631578947,"YES",-2,0
"99683079",2005,"Q5","M",8,3,8,3,0.25,46,0,1,0,0.333333333333333,"YES",0,1
"99683072",2005,"Q5","F",8,3,8,3,0.25,46,0,1,1,0,"NO",-1,0
"99663860",1998,"Q5","M",8,3,5,0,0.25,19,0,1,1,0.328947368421053,"YES",-1,1
"99670765",1998,"Q5","F",5,0,8,3,0.25,19,0,-3,-3,0,"NO",8,1
"118601118",2009,"Q12","M",5,0,5,0,0.684210526315789,42,0,13,2,-0.112781954887218,"YES",1,1
"118601133",2009,"Q12","F",5,0,5,0,0.684210526315789,42,0,0,0,4.44089209850063e-16,"NO",1,1
"99687819",2007,"Q16","M",4,0,5,0,0.611111111111111,46,0,2,2,1.11022302462516e-16,"NO",-14,0
"99697025",2007,"Q16","F",5,0,4,0,0.611111111111111,46,0,2,2,1.11022302462516e-16,"NO",-14,0
"99656413",1998,"Q21","M",11,6,5,0,0.625,19,1,NA,NA,0,"NO",4,-1
"99670887",1998,"Q21","F",5,0,11,6,0.625,19,1,-6,-6,0,"NO",5,0
"118600236",2010,"Q24","M",5,0,9,4,0.764705882352941,43,1,NA,NA,1.11022302462516e-16,"NO",5,NA
"99679659",2010,"Q24","F",9,4,5,0,0.764705882352941,43,1,13,13,0.235294117647059,"YES",2,0
"99656422",1994,"Q25","F",7,2,6,1,0.736842105263158,22,0,NA,NA,-1.11022302462516e-16,"NO",-3,1
"99659561",1994,"Q25","M",6,1,7,2,0.736842105263158,22,0,1,-2,-1.11022302462516e-16,"NO",-2,1
"99685522",2005,"Q37","M",5,0,5,0,0.857142857142857,46,1,0,0,1.11022302462516e-16,"NO",-28,0
"99685523",2005,"Q37","M",5,0,5,0,0.857142857142857,46,1,1,0,-0.157142857142857,"YES",-1,NA
"99654105",1993,"Q38","M",7,2,6,2,0.5625,47,0,NA,NA,0,"NO",-25,1
"99606725",1993,"Q38","F",6,2,7,2,0.5625,47,0,-1,-1,0.1375,"YES",-25,1
"99654150",1996,"Q44","M",10,5,8,5,0.611111111111111,18,1,-3,-5,1.11022302462516e-16,"NO",1,0
"99609445",1996,"Q44","F",8,5,10,5,0.611111111111111,18,1,6,2,0.388888888888889,"YES",-3,0
"99608198",1993,"Q49","F",10,2,5,0,0.75,49,0,0,0,0,"NO",-26,1
"99659548",1993,"Q49","M",5,0,10,2,0.75,49,0,-2,1,0.2,"YES",-29,0
"99602020",1993,"Q50","M",12,2,7,2,0.95,47,1,NA,NA,-0.283333333333333,"YES",NA,NA
"99654043",1993,"Q50","F",7,2,12,2,0.95,47,1,-6,-1,0,"NO",-27,-1
"99659548",1996,"Q50","M",8,3,10,5,0.95,21,1,-2,-2,-0.35,"YES",13,0
"99654043",1996,"Q50","F",10,5,8,3,0.95,21,1,-3,-3,-0.2,"YES",-1,0
"99662573",2007,"Q51","F",18,13,11,5,0.6,43,0,-11,-5,0,"NO",1,NA
"99680538",2007,"Q51","M",11,5,18,13,0.6,43,0,1,-4,0.3,"YES",-23,0
"99659542",2003,"Q52","F",10,0,7,1,0.4,46,1,NA,NA,0,"NO",-6,0
"99680538",2003,"Q52","M",7,1,10,0,0.4,46,1,6,11,0.2,"YES",5,-1
"99683073",2008,"Q53","M",11,6,18,8,0.666666666666667,44,1,-13,-8,-3.33066907387547e-16,"NO",-20,-1
"99653374",2008,"Q53","F",18,8,11,6,0.666666666666667,44,1,2,1,0.233333333333333,"YES",-24,-1
"99670769",2000,"Q53","M",7,2,10,0,0.666666666666667,23,1,NA,NA,-3.33066907387547e-16,"NO",1,0
"99653374",2000,"Q53","F",10,0,7,2,0.666666666666667,23,1,-2,-2,-3.33066907387547e-16,"NO",6,0
"99652936",1997,"Q54","M",7,2,7,2,0.5,21,0,6,5,0,"NO",2,NA
"99663861",1997,"Q54","M",7,2,7,2,0.5,21,0,NA,NA,-0.5,"YES",4,0
"99609493",1996,"Q62","F",8,3,8,3,0,21,0,3,2,0.692307692307692,"YES",2,1
"99608524",1996,"Q62","M",8,3,8,3,0,21,0,NA,NA,0.611111111111111,"YES",-1,1
"99669946",2010,"Q63","F",13,7,8,1,0.0625,44,0,1,3,0.8125,"YES",1,NA
"99684918",2010,"Q63","M",8,1,13,7,0.0625,44,0,NA,NA,0.659722222222222,"YES",NA,0
"99667198",1996,"Q64","F",5,0,6,1,0.8,20,1,NA,NA,0,"NO",2,0
"99663861",1996,"Q64","M",6,1,5,0,0.8,20,1,2,2,-0.3,"YES",1,-1
"99685518",2005,"QT13","M",5,0,8,2,0.571428571428571,56,0,-3,-2,4.44089209850063e-16,"NO",-9,1
"99669905",2005,"QT13","F",8,2,5,0,0.571428571428571,56,0,8,8,0.053571428571429,"YES",-11,1
